City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Kruisfontein,ZA,-34.0033,24.7314,58.95,25,0,8.25,clear sky
138,Mareeba,AU,-17.0,145.4333,66.92,81,50,2.57,scattered clouds
139,Barmer,IN,25.75,71.3833,86.94,66,100,20.42,overcast clouds
140,Malangali,TZ,-8.5667,34.85,59.67,48,3,11.36,clear sky
141,Ambilobe,MG,-13.2,49.05,69.85,75,28,2.42,scattered clouds
142,Ust-Maya,RU,60.4167,134.5333,57.25,92,0,1.77,clear sky
143,Bjornevatn,NO,69.6672,29.9847,49.62,93,75,25.32,moderate rain
144,Asau,RO,46.4333,26.4,70.72,95,75,3.06,broken clouds
145,Carutapera,BR,-1.195,-46.02,82.2,73,37,7.65,scattered clouds
146,Namibe,AO,-15.1961,12.1522,68.83,86,94,5.55,overcast clouds
147,Castro,BR,-24.7911,-50.0119,51.58,48,0,10.96,clear sky
148,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
149,Shirokiy,RU,49.758,129.523,69.76,62,100,5.28,overcast clouds
150,New Norfolk,AU,-42.7826,147.0587,49.5,82,100,1.01,overcast clouds
151,Ituporanga,BR,-27.4144,-49.6025,58.53,45,0,8.99,clear sky
152,Northam,GB,51.0333,-4.2167,80.22,83,36,2.59,scattered clouds
153,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.76,76,1,9.78,clear sky
154,Manzhouli,CN,49.6,117.4333,62.19,98,100,4.38,overcast clouds
155,Taoudenni,ML,22.6783,-3.9836,110.64,7,6,7.99,clear sky
156,Esil,KZ,51.9556,66.4042,65.17,53,26,9.35,scattered clouds
157,Leningradskiy,RU,69.3833,178.4167,33.58,100,100,5.77,moderate rain
158,Lagoa,PT,39.05,-27.9833,68.11,75,2,16.89,clear sky
159,Pisco,PE,-13.7,-76.2167,64.45,77,75,10.36,broken clouds
160,Tuatapere,NZ,-46.1333,167.6833,43.07,91,86,1.81,overcast clouds
161,Rio Gallegos,AR,-51.6226,-69.2181,51.85,46,75,26.46,broken clouds
162,Peleduy,RU,59.6289,112.7406,61.11,98,100,4.07,moderate rain
163,Aykhal,RU,66.0,111.5,52.7,90,42,18.41,scattered clouds
164,Hammerfest,NO,70.6634,23.6821,47.93,93,75,9.22,broken clouds
165,Abapo,BO,-18.8333,-63.4667,66.96,25,55,7.23,broken clouds
