City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Atasu,KZ,2021-07-17 17:41:19,48.6814,71.6433,73.98,22,87,9.62
140,Henties Bay,NA,2021-07-17 17:41:19,-22.116,14.2845,68.86,59,3,11.48
141,Synya,RU,2021-07-17 17:41:19,65.3718,58.0387,60.37,68,80,0.83
142,Mount Isa,AU,2021-07-17 17:40:42,-20.7333,139.5,46.17,57,6,1.14
143,Chokurdakh,RU,2021-07-17 17:41:20,70.6333,147.9167,37.98,84,88,15.99
144,Qaqortoq,GL,2021-07-17 17:41:20,60.7167,-46.0333,59.5,74,84,1.5
145,Iqaluit,CA,2021-07-17 17:41:20,63.7506,-68.5145,56.93,71,75,4.0
146,Haines Junction,CA,2021-07-17 17:41:20,60.7522,-137.5108,60.75,44,0,1.14
147,Tuktoyaktuk,CA,2021-07-17 17:41:21,69.4541,-133.0374,68.0,60,75,8.05
148,Kenora,CA,2021-07-17 17:38:43,49.8167,-94.4337,83.59,41,20,9.22
149,Te Anau,NZ,2021-07-17 17:41:21,-45.4167,167.7167,45.99,97,100,1.45
150,Praia Da Vitoria,PT,2021-07-17 17:41:21,38.7333,-27.0667,74.75,68,20,5.28
151,Duma,CN,2021-07-17 17:41:22,34.7653,108.135,68.02,80,57,0.34
152,Turukhansk,RU,2021-07-17 17:41:22,65.8167,87.9833,53.26,90,49,6.22
153,Lompoc,US,2021-07-17 17:41:22,34.6391,-120.4579,84.13,77,20,5.75
154,Shetpe,KZ,2021-07-17 17:41:23,44.1667,52.1167,85.91,23,0,7.36
155,Kitimat,CA,2021-07-17 17:41:23,54.0524,-128.6534,61.92,91,100,1.21
156,Coihaique,CL,2021-07-17 17:41:23,-45.5752,-72.0662,44.55,57,75,3.44
157,Buraydah,SA,2021-07-17 17:41:23,26.326,43.975,104.45,15,99,15.99
158,Hambantota,LK,2021-07-17 17:41:24,6.1241,81.1185,79.43,80,95,14.16
159,Pativilca,PE,2021-07-17 17:41:24,-10.7,-77.7833,68.32,69,28,10.04
160,Esperance,AU,2021-07-17 17:41:24,-33.8667,121.9,53.44,76,78,10.4
161,Arlit,NE,2021-07-17 17:41:25,18.7369,7.3853,103.86,16,6,6.93
162,Kalabo,ZM,2021-07-17 17:41:25,-14.97,22.6814,65.1,34,18,6.69
163,Alofi,NU,2021-07-17 17:41:25,-19.0595,-169.9187,73.29,88,2,5.75
164,Kaitangata,NZ,2021-07-17 17:41:26,-46.2817,169.8464,46.47,94,100,6.6
165,Atambua,ID,2021-07-17 17:41:26,-9.1061,124.8925,68.52,79,47,4.36
166,Nanortalik,GL,2021-07-17 17:41:26,60.1432,-45.2371,52.47,70,96,16.84
167,Yatou,CN,2021-07-17 17:41:26,37.15,122.3833,72.46,94,8,1.92
168,Kontagora,NG,2021-07-17 17:41:27,10.3999,5.4695,79.56,71,94,4.47
169,Urubicha,BO,2021-07-17 17:41:27,-15.3833,-62.95,91.83,32,30,4.27
170,Coffeyville,US,2021-07-17 17:41:27,37.0373,-95.6164,78.85,97,75,8.05
171,Berlevag,NO,2021-07-17 17:41:28,70.8578,29.0864,51.71,81,59,11.61
172,Tlacotepec,MX,2021-07-17 17:41:28,20.0667,-97.8667,74.28,66,99,6.96
173,Souillac,MU,2021-07-17 17:41:28,-20.5167,57.5167,71.98,68,40,13.8
174,Bara,NG,2021-07-17 17:41:29,10.3744,10.7288,83.98,61,52,5.5
175,General Roca,AR,2021-07-17 17:41:29,-39.0333,-67.5833,52.2,25,0,18.34
176,Luqiao,CN,2021-07-17 17:41:29,28.5808,121.3772,76.44,93,100,2.93
177,Visby,SE,2021-07-17 17:41:30,57.6409,18.296,79.05,53,0,9.22
178,Narsaq,GL,2021-07-17 17:41:30,60.9167,-46.05,59.22,66,93,3.15
179,Oyama,JP,2021-07-17 17:41:30,36.3,139.8,80.58,75,52,2.73
180,Tuatapere,NZ,2021-07-17 17:41:31,-46.1333,167.6833,45.82,96,99,3.71
181,Maceio,BR,2021-07-17 17:41:31,-9.6658,-35.7353,78.24,78,75,11.5
182,Kavaratti,IN,2021-07-17 17:41:31,10.5669,72.642,82.42,78,92,18.3
183,Katangli,RU,2021-07-17 17:41:31,51.7102,143.2326,61.11,93,57,6.8
184,Rampura,IN,2021-07-17 17:41:32,30.25,75.2333,98.67,38,100,3.49
185,Hervey Bay,AU,2021-07-17 17:41:32,-25.2986,152.8535,56.01,59,3,3.0
186,Port Elizabeth,ZA,2021-07-17 17:41:33,-33.918,25.5701,53.89,76,0,8.05
187,Severo-Kurilsk,RU,2021-07-17 17:41:33,50.6789,156.125,53.85,98,99,3.47
188,Skibbereen,IE,2021-07-17 17:41:33,51.55,-9.2667,75.0,73,0,7.49
189,Zhangjiakou,CN,2021-07-17 17:41:34,40.81,114.8794,69.87,92,98,6.76
190,Gizo,SB,2021-07-17 17:41:34,-8.103,156.8419,82.33,80,100,10.87
191,Ixtapa,MX,2021-07-17 17:41:34,20.7,-105.2,88.23,55,75,4.61
192,Fuling,CN,2021-07-17 17:41:34,29.7022,107.3919,75.63,95,96,2.75
193,Antalaha,MG,2021-07-17 17:41:35,-14.9003,50.2788,68.16,83,5,7.43
194,Pevek,RU,2021-07-17 17:41:35,69.7008,170.3133,46.29,73,76,14.9
195,Roma,US,2021-07-17 17:41:35,43.2128,-75.4557,71.44,89,90,5.75
196,Qasigiannguit,GL,2021-07-17 17:41:36,68.8193,-51.1922,55.65,62,63,3.49
197,Dikson,RU,2021-07-17 17:41:36,73.5069,80.5464,34.16,91,96,11.41
198,Faanui,PF,2021-07-17 17:41:36,-16.4833,-151.75,79.63,73,30,22.46
199,Taoudenni,ML,2021-07-17 17:41:36,22.6783,-3.9836,115.72,7,53,14.36
