City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Malacacheta,BR,83.91,clear sky,-17.8422,-42.0767,Pousada Varanda do Sol
429,Staunton,US,87.24,clear sky,38.1496,-79.0717,Hotel 24 South
433,Honiara,SB,76.06,overcast clouds,-9.4333,159.95,Heritage Park Hotel
434,Dhidhdhoo,MV,82.44,overcast clouds,6.8833,73.1,Dhidhoo beach
436,Alugan,PH,77.77,overcast clouds,12.2188,125.4808,JM Lodge
437,Boffa,GN,78.67,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
444,Nanakuli,US,79.99,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
449,Biak,ID,75.42,overcast clouds,-0.9131,122.8766,Penginapan Kim
450,Katihar,IN,83.84,overcast clouds,25.5333,87.5833,Hotel Deluxe
451,Marang,MY,80.51,overcast clouds,5.2056,103.2059,DBarakah Homestay
454,Pitsunda,GE,77.18,clear sky,43.1592,40.3378,Hotel FREEDOM
455,Sale,MA,78.82,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
457,Requena,ES,75.52,clear sky,39.4883,-1.1004,Hotel Avenida
464,Bandarban,BD,76.55,light rain,22.1965,92.2262,Hotel Plaza
466,Kieta,PG,78.94,light rain,-6.2167,155.6333,Uruna Bay Retreat
468,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
477,Sola,VU,79.47,few clouds,-13.8833,167.55,Leumerus Bungalows
480,Luwuk,ID,76.46,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
481,Farcasu,RO,81.81,overcast clouds,44.6,23.75,Casa Stefania Marin
485,Mogadishu,SO,76.98,few clouds,2.0371,45.3438,Hotel Juba
488,Porbandar,IN,83.57,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
489,Davila,PH,76.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
491,Shingu,JP,76.91,few clouds,33.7333,135.9833,Shingu UI Hotel
495,Olinda,BR,78.53,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
496,Batesville,US,84.07,overcast clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
497,Little Current,CA,82.42,overcast clouds,45.9793,-81.9248,Hawberry Motel
499,Cagliari,IT,80.94,clear sky,39.245,9.0912,Holiday Inn Cagliari
504,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
506,Preston,GB,82.38,clear sky,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resort
508,Buala,SB,79.0,light rain,-8.145,159.5921,Maringe Lagoon Lodge
510,Hue,VN,82.51,few clouds,16.4667,107.6,Saigon Morin Hotel
511,Coro,VE,89.37,clear sky,11.4045,-69.6734,Federal
516,Corinto,GR,85.03,clear sky,37.9407,22.9573,Ephira Hotel
517,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
